010010,国际老年人日,public
010010,世界音乐日,public
010010,世界素食日,public
010020,国际和平与民主自由斗争日,public
010020,国际非暴力日,public
010030,世界住房日,public
010030,世界建筑日,public
010040,世界动物日,public
010050,世界教师日,public
010080,全国高血压日,public
010090,世界邮政日,public
010100,世界居室卫生日,public
010100,世界精神卫生日,public
010100,辛亥革命纪念日,public
010110,国际女童日,public
010110,世界镇痛日,public
010120,世界关节炎日,public
010130,中国少年先锋队诞辰日,event
010130,国际标准时间日,public
010130,世界保健日,public
010130,国际减轻自然灾害日,public
010130,世界视觉日,public
010140,世界标准日,public
010150,全球洗手日,public
010150,国际盲人节,public
010160,世界粮食日,public
010170,扶贫日,public
010170,世界消除贫困日,public
010180,世界更年期关怀日,public
010200,世界厨师日,public
010200,世界统计日,public
010200,世界骨质疏松日,public
010220,国际口吃日,public
010220,世界传统医药日,public
010230,世界雪豹日,public
010240,世界发展信息日,public
010240,联合国日,public
010250,人类天花绝迹日,public
010280,世界动画日,public
010280,世界男性健康日,public
010310,世界城市日,public
010310,世界勤俭日,public
010310,万圣夜,public
011010,万圣节,public
011050,世界海啸日,public
011080,记者节,public
011090,全国消防日,public
011100,吉尼斯世界纪录日,public
011100,世界青年节,public
011110,光棍节,public
011110,空军建军节,public
011140,世界糖尿病日,public
011150,城市公共安全日,public
011160,世界慢性阻塞性肺病日,public
011160,国际宽容日,public
011170,国际肺癌日,public
011170,世界早产日,public
011170,国际大学生节,public
011190,世界厕所日,public
011200,心梗救治日,public
011200,世界儿童日,public
011210,孙中山诞辰纪念日,life
011210,世界问候日,public
011210,世界电视日,public
011240,感恩节,basic
011250,国际素食日,public
011250,消除对妇女的暴力日,public
011290,中国梦想日,public
012010,世界艾滋病日,public
012020,全国交通安全日,public
012030,世界残疾人日,public
012040,全国法制宣传日,public
012050,国际志愿人员日,public
012050,世界土壤日,public
012050,世界弱能人士日,public
012070,国际民航日,public
012090,国际反腐败日,public
012090,世界足球日,public
012090,一二·九运动纪念日,event
012100,世界人权日,public
012110,国际山岳日,public
012110,国际儿童电视广播日,public
012120,西安事变纪念日,public
012130,国家公祭日,memorial
012150,世界强化免疫日,public
012180,国际移徙者日,public
012200,澳门回归纪念日,public
012210,国际篮球日,public
012240,平安夜,basic
012250,圣诞节,basic
10001A,除夕,basic
101010,春节,basic
101050,破五节,tradition
101150,元宵节,basic
101250,填仓节,tradition
102020,龙抬头,tradition
102150,花朝节,tradition
103230,妈祖诞辰日,life
105050,端午节,basic
106060,天贶节,tradition
106240,关公诞辰纪念日,life
106240,火把节,tradition
107070,七夕节,tradition
107150,中元节,basic
107220,财神节,tradition
108150,中秋节,basic
109090,重阳节,basic
110010,寒衣节,tradition
110150,下元节,tradition
112080,腊八节,basic
112230,北方小年,tradition
112240,南方小年,tradition
201116,国际麻风节,public
203023,世界肾脏日,public
203110,全国中小学生安全教育日,public
204115,世界兽医日,public
205011,世界防治哮喘日,public
205013,世界密码日,public
205026,救助贫困母亲日,public
205036,全国助残日,public
206025,文化和自然遗产日,public
207015,国际合作节,public
209025,世界急救日,public
413116,初伏,tradition
414116,中伏,tradition
411146,末伏,tradition
